"","Sero1","Sero2","ccN","mlstN.x","mlstN.y","same.sg","both.glcA","both.gal","both.glc","both.glcnac","both.ac","both.rha","both.gro","both.ribol","both.cho","both.fucnac","both.mannac","both.NAC"
"170","22F","10B",1,194,27,0,"1","2","1","0","0","1","0","1","0","0","0","1"
"171","6G","10B",0,1,27,0,"0","2","1","0","0","1","0","2","0","0","0","1"
"172","28F","10B",0,24,27,0,"0","1","1","0","0","1","1","1","1","0","0","1"
"173","21","10B",0,116,27,0,"0","2","1","0","0","0","0","1","0","0","0","1"
"174","24A","10B",0,9,27,0,"0","1","0","0","0","0","0","1","1","0","0","1"
"175","5","10B",0,73,27,0,"1","1","1","0","0","0","0","1","0","1","0","2"
"176","15B/C","10B",1,320,27,0,"0","2","1","1","0","0","1","1","0","0","0","2"
"177","18C","10B",0,306,27,0,"0","2","1","0","0","1","1","1","0","0","0","1"
"178","11D","10B",0,2,27,0,"0","2","1","0","0","0","1","1","0","0","0","2"
"179","10A","10B",7,192,27,1,"0","2","0","0","0","0","0","2","0","0","0","2"
"180","19B","10B",0,33,27,0,"0","1","1","0","0","1","0","1","0","0","1","2"
"181","12A","10B",0,14,27,0,"0","1","1","1","0","0","0","1","0","1","0","2"
"182","19A","10B",0,1132,27,0,"0","1","1","0","0","1","0","1","0","0","1","2"
"183","6F","10B",0,2,27,0,"0","2","1","0","0","1","0","2","0","0","0","1"
"184","6A","10B",1,979,27,0,"0","2","1","0","0","1","0","2","0","0","0","1"
"185","18B","10B",0,21,27,0,"0","2","1","0","0","1","1","1","0","0","0","1"
"186","28A","10B",0,15,27,0,"0","1","0","0","0","0","0","1","1","0","0","1"
"187","11C","10B",0,9,27,0,"0","2","1","0","0","0","1","1","0","0","0","2"
"188","15F","10B",0,21,27,0,"0","2","1","1","0","0","0","1","1","0","0","2"
"189","8","10B",0,180,27,0,"1","2","1","0","0","0","0","1","0","0","0","1"
"190","35B","10B",0,228,27,0,"0","2","1","0","0","0","0","2","0","0","0","2"
"191","9L","10B",0,34,27,0,"1","2","1","1","0","0","0","1","0","0","1","2"
"192","33A","10B",0,14,27,0,"0","2","1","0","0","0","0","1","0","0","0","1"
"193","17F","10B",0,127,27,0,"0","2","1","0","0","1","0","1","0","0","0","1"
"194","20B","10B",0,2,27,0,"0","2","1","1","0","0","0","1","0","0","0","2"
"195","46","10B",0,8,27,0,"0","2","0","1","0","0","0","1","0","1","0","2"
"196","33C","10B",0,13,27,0,"0","2","0","0","0","0","0","2","0","0","0","2"
"197","15A","10B",1,285,27,0,"0","2","1","1","0","0","1","1","0","0","0","2"
"198","24F","10B",0,69,27,0,"0","1","1","0","0","1","0","2","0","0","0","1"
"199","13","10B",0,112,27,0,"0","2","1","1","0","0","0","2","0","0","0","2"
"200","35C","10B",0,41,27,0,"0","2","1","0","0","0","0","1","0","0","0","1"
"201","11A","10B",0,240,27,0,"0","2","1","0","0","0","1","1","0","0","0","1"
"202","19C","10B",0,10,27,0,"0","1","1","0","0","1","0","1","0","0","1","2"
"203","1","10B",0,240,27,0,"0","1","0","0","0","0","0","1","0","0","0","1"
"204","25F","10B",0,12,27,0,"0","1","1","0","0","1","0","2","0","0","0","1"
"205","9N","10B",0,136,27,0,"1","1","1","1","0","0","0","1","0","0","1","2"
"206","10F","10B",2,41,27,1,"0","2","0","0","0","0","0","2","0","0","0","2"
"207","16F","10B",0,229,27,0,"0","2","1","0","0","1","1","1","0","0","0","1"
"208","19F","10B",1,1199,27,0,"0","1","1","0","0","1","0","1","0","0","1","2"
"209","27","10B",0,13,27,0,"0","2","1","1","0","1","0","1","1","0","0","2"
"210","32F","10B",0,6,27,0,"0","1","1","0","0","1","0","1","1","0","0","1"
"211","14","10C",0,808,4,0,"0","2","1","1","0","0","0","1","0","0","0","2"
"212","9V","10C",0,258,4,0,"1","2","1","0","0","0","0","1","0","0","1","2"
"213","7F","10C",0,176,4,0,"0","2","1","1","0","1","0","1","0","0","0","2"
"214","8","10C",0,180,4,0,"1","2","1","0","0","0","0","1","0","0","0","1"
"215","7A","10C",0,7,4,0,"0","2","1","1","0","1","0","1","0","0","0","2"
"216","24A","10C",0,9,4,0,"0","1","0","0","0","0","0","1","1","0","0","1"
"217","17F","10C",0,127,4,0,"0","2","1","0","0","1","0","1","0","0","0","1"
"218","2","10C",0,25,4,0,"1","1","1","0","0","1","0","1","0","0","0","1"
"219","34","10C",0,204,4,0,"0","2","1","0","0","0","0","2","0","0","0","1"
"220","28A","10C",0,15,4,0,"0","1","0","0","0","0","0","1","1","0","0","1"
