"","Sero1","Sero2","ccN","mlstN.x","mlstN.y","same.sg","both.glcA","both.gal","both.glc","both.glcnac","both.ac","both.rha","both.gro","both.ribol","both.cho","both.fucnac","both.mannac","both.NAC"
"295","15F","10C",1,13,2,0,"0","2","1","1","0","0","0","1","1","0","0","2"
"296","6A","10C",1,108,2,0,"0","2","1","0","0","1","0","2","0","0","0","1"
"297","6G","10C",1,1,2,0,"0","2","1","0","0","1","0","2","0","0","0","1"
"298","10A","10C",2,31,2,1,"0","2","0","0","0","0","0","2","0","0","0","2"
"299","24F","10C",1,11,2,0,"0","1","1","0","0","1","0","2","0","0","0","1"
"300","47A","10C",0,1,2,0,"0","2","1","1","0","0","0","2","0","0","0","2"
"301","2","10F",1,2,9,0,"1","1","1","0","0","1","0","1","0","0","0","1"
"302","12F","10F",1,20,9,0,"0","2","1","0","0","0","0","1","0","1","0","2"
"303","18B","10F",1,7,9,0,"0","2","1","0","0","1","1","1","0","0","0","1"
"304","7A","10F",1,5,9,0,"0","2","1","1","0","1","0","1","0","0","0","2"
"305","27","10F",1,4,9,0,"0","2","1","1","0","1","0","1","1","0","0","2"
"306","7F","10F",2,20,9,0,"0","2","1","1","0","1","0","1","0","0","0","2"
"307","37","10F",0,8,9,0,"0","1","1","0","0","0","0","1","0","0","0","1"
"308","12A","10F",0,7,9,0,"0","1","1","1","0","0","0","1","0","1","0","2"
"309","22F","10F",2,19,9,0,"1","2","1","0","0","1","0","1","0","0","0","1"
"310","28A","10F",0,3,9,0,"0","1","0","0","0","0","0","1","1","0","0","1"
"311","33F","10F",1,14,9,0,"0","2","1","0","0","0","0","1","0","0","0","1"
"312","6G","10F",1,1,9,0,"0","2","1","0","0","1","0","2","0","0","0","1"
"313","16F","10F",0,27,9,0,"0","2","1","0","0","1","1","1","0","0","0","1"
"314","18A","10F",1,11,9,0,"0","2","1","1","0","1","1","1","0","0","0","2"
"315","24A","10F",0,3,9,0,"0","1","0","0","0","0","0","1","1","0","0","1"
"316","33C","10F",0,2,9,0,"0","2","0","0","0","0","0","2","0","0","0","2"
"317","11E","10F",0,1,9,0,"0","2","1","0","0","0","1","1","0","0","0","1"
"318","9A","10F",1,6,9,0,"1","2","1","0","0","0","0","1","0","0","1","2"
"319","17F","10F",1,16,9,0,"0","2","1","0","0","1","0","1","0","0","0","1"
