"","X","sero_pair","mc_st_index_sig","mc_cc_index_sig","mb_st_index_lift","mb_cc_index_lift","total"
"415",415,"23F - 3",1,1,0,0,2
"416",416,"23F - 31",1,1,0,0,2
"422",422,"23F - 42",1,1,0,0,2
"423",423,"23F - 48",1,1,0,0,2
"424",424,"23F - 5",1,1,0,0,2
"425",425,"23F - 6A",1,1,0,0,2
"429",429,"23F - 7B/C",1,1,0,0,2
"436",436,"24F - 3",1,1,0,0,2
"438",438,"24F - 4",1,1,0,0,2
"444",444,"24F - 9N",1,1,0,0,2
"445",445,"24F - 9V",1,1,0,0,2
"450",450,"29 - 9V",1,1,0,0,2
"452",452,"3 - 33F",1,1,0,0,2
"454",454,"3 - 35F",1,1,0,0,2
"456",456,"3 - 38",1,1,0,0,2
"465",465,"3 - 7B/C",1,1,0,0,2
"466",466,"3 - 7F",1,1,0,0,2
"467",467,"3 - 8",1,1,0,0,2
"470",470,"31 - 35B",1,1,0,0,2
"472",472,"31 - 9V",1,1,0,0,2
"477",477,"33C - 6B",1,1,0,0,2
"480",480,"33F - 35F",1,1,0,0,2
"483",483,"33F - 8",1,1,0,0,2
"484",484,"33F - 9V",1,1,0,0,2
"486",486,"34 - 5",1,1,0,0,2
"489",489,"34 - 6C/D",1,1,0,0,2
"496",496,"35B - 38",1,1,0,0,2
"497",497,"35B - 4",1,1,0,0,2
"502",502,"35B - 7B/C",1,1,0,0,2
"504",504,"35B - 9N",1,1,0,0,2
"508",508,"35C - 9V",1,1,0,0,2
"510",510,"35F - 7F",1,1,0,0,2
"513",513,"38 - 4",1,1,0,0,2
"515",515,"38 - 9V",1,1,0,0,2
"516",516,"4 - 5",1,1,0,0,2
"518",518,"4 - 7F",1,1,0,0,2
"519",519,"4 - 8",1,1,0,0,2
"520",520,"4 - 9L",1,1,0,0,2
"522",522,"4 - 9V",1,1,0,0,2
"526",526,"46 - 6B",1,1,0,0,2
"550",550,"7B/C - 9V",1,1,0,0,2
"551",551,"7F - 9N",1,1,0,0,2
"552",552,"7F - 9V",1,1,0,0,2
"553",553,"8 - 9V",1,1,0,0,2
"556",556,"9L - 9V",1,1,0,0,2
"193",193,"15A - 9A",0,1,0.5,0,1.5
"543",543,"6B - 9A",0,1,0.5,0,1.5
"546",546,"6C/D - 6E",0,1,0.5,0,1.5
"3",3,"1 - 11B",0,1,0,0,1
"6",6,"1 - 15B/C",0,1,0,0,1
"13",13,"1 - 22A",0,1,0,0,1
"14",14,"1 - 23A",0,1,0,0,1
"21",21,"1 - 4",0,1,0,0,1
"22",22,"1 - 42",0,1,0,0,1
"30",30,"10A - 10F",0,1,0,0,1
"45",45,"10A - 9A",0,1,0,0,1
