"","Sero1","Sero2","ccN","mlstN.x","mlstN.y","same.sg","both.glcA","both.gal","both.glc","both.glcnac","both.ac","both.rha","both.gro","both.ribol","both.cho","both.fucnac","both.mannac","both.NAC"
"2924","35F","6D",0,13,2,0,"0","1","1","0","0","1","0","2","0","0","0","0"
"2925","13","6D",0,24,2,0,"0","1","2","1","0","1","0","2","0","0","0","1"
"2926","29","6D",1,10,2,0,"0","1","1","0","0","1","0","2","0","0","0","1"
"2927","18F","6D",0,6,2,0,"0","1","2","0","0","2","1","1","0","0","0","0"
"2928","23F","6D",1,39,2,0,"0","1","2","0","0","2","1","1","0","0","0","0"
"2929","9N","6D",0,7,2,0,"1","0","2","1","0","1","0","1","0","0","1","1"
"2930","31","6D",0,4,2,0,"1","1","1","0","0","2","0","1","0","0","0","0"
"2931","6B","6D",2,60,2,1,"0","1","2","0","0","2","0","2","0","0","0","0"
"2932","28F","6D",0,9,2,0,"0","0","2","0","0","2","1","1","1","0","0","0"
"2933","18B","6D",0,4,2,0,"0","1","2","0","0","2","1","1","0","0","0","0"
"2934","6A","6D",2,61,2,1,"0","1","2","0","0","2","0","2","0","0","0","0"
"2935","7B","6D",0,4,2,0,"0","0","2","1","0","2","0","1","0","0","0","1"
"2936","34","6D",0,23,2,0,"0","1","2","0","0","1","0","2","0","0","0","0"
"2937","17F","6D",0,15,2,0,"0","1","2","0","0","2","0","1","0","0","0","0"
"2938","9V","6D",0,9,2,0,"1","1","2","0","0","1","0","1","0","0","1","1"
"2939","18C","6D",0,13,2,0,"0","1","2","0","0","2","1","1","0","0","0","0"
"2940","6C","6D",1,28,2,1,"0","0","2","0","0","2","0","2","0","0","0","0"
"2941","6D","6D",0,2,2,1,"0","0","2","0","0","2","0","2","0","0","0","0"
"2942","20B","6D",0,5,2,0,"0","1","2","1","0","1","0","1","0","0","0","1"
"2943","3","6D",0,18,2,0,"1","0","2","0","0","1","0","1","0","0","0","0"
"2944","10A","6D",0,18,2,0,"0","1","1","0","0","1","0","2","0","0","0","1"
"2945","9L","6D",0,10,2,0,"1","1","2","1","0","1","0","1","0","0","1","1"
"2946","21","6D",0,10,2,0,"0","1","2","0","0","1","0","1","0","0","0","0"
"2947","11A","6D",0,20,2,0,"0","1","2","0","0","1","1","1","0","0","0","0"
"2948","10B","6D",0,5,2,0,"0","1","1","0","0","1","0","2","0","0","0","1"
"2949","19F","6D",0,51,2,0,"0","0","2","0","0","2","0","1","0","0","1","1"
"2950","19A","6D",0,59,2,0,"0","0","2","0","0","2","0","1","0","0","1","1"
"2951","35B","6D",1,18,2,0,"0","1","2","0","0","1","0","2","0","0","0","1"
"2952","17A","6D",0,2,2,0,"1","1","2","0","0","2","0","1","0","0","0","0"
"2953","12A","6D",0,2,2,0,"0","0","2","1","0","1","0","1","0","1","0","1"
"2954","42","6D",0,1,2,0,"0","1","2","0","0","1","0","1","0","0","0","0"
"2955","15F","6D",0,2,2,0,"0","1","2","1","0","1","0","1","1","0","0","1"
"2956","20A","6D",0,9,2,0,"0","1","2","1","0","1","0","1","0","0","0","1"
"2957","10F","6D",0,2,2,0,"0","1","1","0","0","1","0","2","0","0","0","1"
"2958","22F","6D",0,14,2,0,"1","1","2","0","0","2","0","1","0","0","0","0"
"2959","33A","7B",0,1,4,0,"0","1","2","1","0","1","0","0","0","0","0","1"
"2960","46","7B",0,2,4,0,"0","1","1","2","0","1","0","0","0","1","0","2"
"2961","12A","7B",0,2,4,0,"0","0","2","2","0","1","0","0","0","1","0","2"
"2962","6C","7B",1,28,4,0,"0","0","2","1","0","2","0","1","0","0","0","1"
"2963","15A","7B",0,21,4,0,"0","1","2","2","0","1","1","0","0","0","0","2"
"2964","35F","7B",0,13,4,0,"0","1","1","1","0","1","0","1","0","0","0","1"
"2965","15F","7B",0,2,4,0,"0","1","2","2","0","1","0","0","1","0","0","2"
"2966","25F","7B",0,2,4,0,"0","0","2","1","0","2","0","1","0","0","0","1"
"2967","13","7B",0,24,4,0,"0","1","2","2","0","1","0","1","0","0","0","2"
"2968","29","7B",1,10,4,0,"0","1","1","1","0","1","0","1","0","0","0","2"
"2969","10B","7B",0,5,4,0,"0","1","1","1","0","1","0","1","0","0","0","2"
"2970","31","7B",0,4,4,0,"1","1","1","1","0","2","0","0","0","0","0","1"
"2971","33F","7B",0,3,4,0,"0","1","2","1","0","1","0","0","0","0","0","1"
"2972","18B","7B",0,4,4,0,"0","1","2","1","0","2","1","0","0","0","0","1"
"2973","18A","7B",0,7,4,0,"0","1","2","2","0","2","1","0","0","0","0","2"
"2974","33C","7B",0,2,4,0,"0","1","1","1","0","1","0","1","0","0","0","2"
"2975","28A","7B",0,3,4,0,"0","0","1","1","0","1","0","0","1","0","0","1"
"2976","8","7B",0,7,4,0,"1","1","2","1","0","1","0","0","0","0","0","1"
"2977","22F","7B",0,14,4,0,"1","1","2","1","0","2","0","0","0","0","0","1"
"2978","4","7B",0,14,4,0,"0","1","1","1","0","1","0","0","0","1","1","2"
"2979","20B","7B",0,5,4,0,"0","1","2","2","0","1","0","0","0","0","0","2"
"2980","35B","7B",1,18,4,0,"0","1","2","1","0","1","0","1","0","0","0","2"
"2981","7F","7B",0,4,4,1,"0","1","2","2","0","2","0","0","0","0","0","2"
"2982","9A","7B",0,1,4,0,"1","1","2","1","0","1","0","0","0","0","1","2"
"2983","6B","7B",0,60,4,0,"0","1","2","1","0","2","0","1","0","0","0","1"
"2984","17A","7B",0,2,4,0,"1","1","2","1","0","2","0","0","0","0","0","1"
"2985","10A","7B",1,18,4,0,"0","1","1","1","0","1","0","1","0","0","0","2"
"2986","12F","7B",0,7,4,0,"0","1","2","1","0","1","0","0","0","1","0","2"
"2987","9L","7B",0,10,4,0,"1","1","2","2","0","1","0","0","0","0","1","2"
"2988","9N","7B",0,7,4,0,"1","0","2","2","0","1","0","0","0","0","1","2"
"2989","19F","7B",2,51,4,0,"0","0","2","1","0","2","0","0","0","0","1","2"
"2990","18C","7B",0,13,4,0,"0","1","2","1","0","2","1","0","0","0","0","1"
"2991","19B","7B",0,8,4,0,"0","0","2","1","0","2","0","0","0","0","1","2"
"2992","20A","7B",0,9,4,0,"0","1","2","2","0","1","0","0","0","0","0","2"
"2993","18F","7B",0,6,4,0,"0","1","2","1","0","2","1","0","0","0","0","1"
"2994","6D","7B",0,2,4,0,"0","0","2","1","0","2","0","1","0","0","0","1"
"2995","33D","7B",0,2,4,0,"0","1","2","1","0","1","0","1","0","0","0","2"
"2996","19A","7B",2,59,4,0,"0","0","2","1","0","2","0","0","0","0","1","2"
"2997","15B/C","7B",1,32,4,0,"0","1","2","2","0","1","1","0","0","0","0","2"
"2998","21","7B",0,10,4,0,"0","1","2","1","0","1","0","0","0","0","0","1"
"2999","28F","7B",0,9,4,0,"0","0","2","1","0","2","1","0","1","0","0","1"
"3000","14","7B",1,21,4,0,"0","1","2","2","0","1","0","0","0","0","0","2"
"3001","7B","7B",0,4,4,1,"0","0","2","2","0","2","0","0","0","0","0","2"
"3002","34","7B",0,23,4,0,"0","1","2","1","0","1","0","1","0","0","0","1"
"3003","45","7B",0,3,4,0,"0","1","1","2","0","2","1","0","0","1","0","2"
"3004","35C","7B",0,4,4,0,"0","1","2","1","0","1","0","0","0","0","0","1"
"3005","10F","7B",0,2,4,0,"0","1","1","1","0","1","0","1","0","0","0","2"
"3006","33B","7B",0,3,4,0,"0","1","2","1","0","1","0","1","0","0","0","2"
"3007","11A","7B",0,20,4,0,"0","1","2","1","0","1","1","0","0","0","0","1"
"3008","35A","7B",0,8,4,0,"0","1","2","1","0","1","0","0","0","0","0","1"
"3009","6A","7B",1,61,4,0,"0","1","2","1","0","2","0","1","0","0","0","1"
"3010","17F","7B",2,15,4,0,"0","1","2","1","0","2","0","0","0","0","0","1"
"3011","9V","7B",0,9,4,0,"1","1","2","1","0","1","0","0","0","0","1","2"
"3012","16F","7B",0,23,4,0,"0","1","2","1","0","2","1","0","0","0","0","1"
"3013","3","7B",2,18,4,0,"1","0","2","1","0","1","0","0","0","0","0","1"
"3014","42","7B",0,1,4,0,"0","1","2","1","0","1","0","0","0","0","0","1"
"3015","39","7B",0,2,4,0,"0","1","1","1","0","1","0","1","0","0","0","2"
"3016","23F","7B",2,39,4,0,"0","1","2","1","0","2","1","0","0","0","0","1"
"3017","15A","7F",0,21,4,0,"0","2","2","2","2","1","1","0","0","0","0","2"
"3018","11A","7F",0,20,4,0,"0","2","2","1","2","1","1","0","0","0","0","1"
"3019","9V","7F",0,9,4,0,"1","2","2","1","2","1","0","0","0","0","1","2"
"3020","33F","7F",0,3,4,0,"0","2","2","1","2","1","0","0","0","0","0","1"
"3021","33B","7F",0,3,4,0,"0","2","2","1","2","1","0","1","0","0","0","2"
"3022","33A","7F",0,1,4,0,"0","2","2","1","2","1","0","0","0","0","0","1"
"3023","33C","7F",0,2,4,0,"0","2","1","1","2","1","0","1","0","0","0","2"
"3024","17F","7F",0,15,4,0,"0","2","2","1","2","2","0","0","0","0","0","1"
"3025","34","7F",0,23,4,0,"0","2","2","1","2","1","0","1","0","0","0","1"
"3026","12F","7F",2,7,4,0,"0","2","2","1","2","1","0","0","0","1","0","2"
"3027","35F","7F",0,13,4,0,"0","2","1","1","2","1","0","1","0","0","0","1"
"3028","31","7F",0,4,4,0,"1","2","1","1","2","2","0","0","0","0","0","1"
"3029","33D","7F",0,2,4,0,"0","2","2","1","2","1","0","1","0","0","0","2"
"3030","39","7F",0,2,4,0,"0","2","1","1","2","1","0","1","0","0","0","2"
"3031","13","7F",0,24,4,0,"0","2","2","2","2","1","0","1","0","0","0","2"
"3032","6D","7F",0,2,4,0,"0","1","2","1","2","2","0","1","0","0","0","1"
"3033","19F","7F",1,51,4,0,"0","1","2","1","2","2","0","0","0","0","1","2"
"3034","6B","7F",0,60,4,0,"0","2","2","1","2","2","0","1","0","0","0","1"
"3035","10B","7F",0,5,4,0,"0","2","1","1","2","1","0","1","0","0","0","2"
"3036","9A","7F",0,1,4,0,"1","2","2","1","2","1","0","0","0","0","1","2"
"3037","15F","7F",0,2,4,0,"0","2","2","2","2","1","0","0","1","0","0","2"
