"","Serotype1","Serotype2","Freq","025tile","975tile"
"1558","15F","9V",4,0,5
"1559","16A","16F",1,0,2
"1561","16A","17F",1,0,1.02499999999998
"1562","16A","18A",1,0,1
"1563","16A","18B",1,0,1
"1564","16A","18C",1,0,2
"1565","16A","18F",1,0,1
"1566","16A","19A",1,0,5
"1567","16A","19B",1,0,1
"1568","16A","19C",1,0,1
"1569","16A","19F",1,0,5
"1570","16A","2",1,0,0
"1573","16A","21",1,0,1
"1574","16A","22A",1,0,1
"1575","16A","22F",1,0,1
"1576","16A","23A",1,0,2
"1577","16A","23B",1,0,1
"1578","16A","23F",1,0,4
"1580","16A","24B",1,0,0
"1581","16A","24F",1,0,1
"1587","16A","29",1,0,1
"1588","16A","3",1,0,3
"1589","16A","31",1,0,1
"1596","16A","34",1,0,2
"1598","16A","35B",1,0,2
"1600","16A","35F",1,0,1
"1603","16A","38",1,0,1
"1605","16A","4",1,0,3
"1609","16A","42",1,0,1
"1617","16A","6A",1,0,5
"1618","16A","6B",1,0,5
