"","Serotype1","Serotype2","Freq","975tile"
"1405","15A","7B/C",3,0
"1406","15A","7F",3,0
"1407","15A","8",5,0
"1408","15A","9A",3,0
"1409","15A","9L",4,0
"1410","15A","9N",4,0
"1411","15A","9V",8,0
"1412","15B/C","15F",6,0
"1413","15B/C","16A",1,0
"1414","15B/C","16F",2,1
"1416","15B/C","17F",3,0
"1417","15B/C","18A",4,0
"1418","15B/C","18B",2,0
"1419","15B/C","18C",5,0
"1420","15B/C","18F",2,0
"1421","15B/C","19A",15,7
"1422","15B/C","19B",2,0
"1423","15B/C","19C",1,0
"1424","15B/C","19F",17,6.025
"1425","15B/C","2",2,0
"1428","15B/C","21",4,0
"1429","15B/C","22A",3,0
"1430","15B/C","22F",6,0
"1431","15B/C","23A",9,0
"1432","15B/C","23B",6,0
"1433","15B/C","23F",12,4
"1434","15B/C","24A",1,0
"1435","15B/C","24B",2,0
"1436","15B/C","24F",2,0
"1439","15B/C","27",1,0
"1441","15B/C","28F",2,0
"1442","15B/C","29",3,0
"1443","15B/C","3",8,2
"1444","15B/C","31",2,0
"1450","15B/C","33F",2,0
"1451","15B/C","34",5,1
"1452","15B/C","35A",2,0
"1453","15B/C","35B",4,0
"1454","15B/C","35C",1,0
"1455","15B/C","35F",3,0
"1456","15B/C","36",1,0
"1457","15B/C","37",2,0
"1458","15B/C","38",2,0
"1460","15B/C","4",7,2
"1464","15B/C","42",1,0
"1466","15B/C","45",1,0
"1471","15B/C","5",2,0
"1472","15B/C","6A",11,8
"1473","15B/C","6B",15,7
"1474","15B/C","6C/D",10,3
"1475","15B/C","6E",4,0
"1476","15B/C","6F",1,0
"1477","15B/C","6G",1,0
"1478","15B/C","7A",1,0
"1479","15B/C","7B/C",5,0
"1480","15B/C","7F",4,0
"1481","15B/C","8",2,0
"1482","15B/C","9A",2,0
"1483","15B/C","9L",3,0
"1484","15B/C","9N",3,0
"1485","15B/C","9V",10,0
"1486","15F","16A",1,0
"1489","15F","17F",2,0
"1490","15F","18A",3,0
"1491","15F","18B",1,0
"1492","15F","18C",2,0
"1493","15F","18F",1,0
"1494","15F","19A",7,1
"1495","15F","19B",2,0
"1496","15F","19C",1,0
"1497","15F","19F",7,0
"1498","15F","2",1,0
"1501","15F","21",2,0
"1502","15F","22A",1,0
"1503","15F","22F",3,0
"1504","15F","23A",5,0
"1505","15F","23B",3,0
"1506","15F","23F",6,0
"1508","15F","24B",1,0
"1509","15F","24F",2,0
"1515","15F","29",2,0
"1516","15F","3",7,0
"1517","15F","31",2,0
"1519","15F","33A",1,0
"1520","15F","33B",1,0
"1523","15F","33F",1,0
"1524","15F","34",2,0
"1525","15F","35A",1,0
"1526","15F","35B",2,0
"1528","15F","35F",2,0
"1529","15F","36",1,0
"1530","15F","37",1,0
"1531","15F","38",1,0
"1533","15F","4",2,0
"1537","15F","42",1,0
"1543","15F","48",1,0
"1544","15F","5",1,0
"1545","15F","6A",5,1
"1546","15F","6B",4,1
"1547","15F","6C/D",5,0
"1548","15F","6E",2,0
"1549","15F","6F",1,0
"1550","15F","6G",1,0
"1552","15F","7B/C",2,0
"1553","15F","7F",1,0
"1554","15F","8",3,0
"1555","15F","9A",2,0
"1556","15F","9L",2,0
"1557","15F","9N",1,0
"1558","15F","9V",4,0
"1559","16A","16F",1,0
"1561","16A","17F",1,0
"1562","16A","18A",1,0
"1563","16A","18B",1,0
"1564","16A","18C",1,0
"1565","16A","18F",1,0
"1566","16A","19A",1,0
"1567","16A","19B",1,0
"1568","16A","19C",1,0
"1569","16A","19F",1,0
"1570","16A","2",1,0
"1573","16A","21",1,0
"1574","16A","22A",1,0
"1575","16A","22F",1,0
"1576","16A","23A",1,0
"1577","16A","23B",1,0
"1578","16A","23F",1,0
"1580","16A","24B",1,0
"1581","16A","24F",1,0
"1587","16A","29",1,0
"1588","16A","3",1,0
"1589","16A","31",1,0
"1596","16A","34",1,0
"1598","16A","35B",1,0
"1600","16A","35F",1,0
"1603","16A","38",1,0
"1605","16A","4",1,0
"1609","16A","42",1,0
