"","stA","MLST","frequency"
"163043","17F","1924",1
"163143","19A","1925",1
"163292","6A","1926",1
"163333","19A","1927",1
"163387","6A","1927",1
"163482","6A","1928",1
"163523","19A","1929",1
"163673","6B","1930",1
"163675","6E","1930",1
"163745","34","1931",1
"163786","11A","1933",1
"163881","11A","1934",1
"163998","19A","1935",1
"164093","19A","1936",1
"164157","9A","1936",1
"164191","19F","1937",1
"164337","6A","1939",1
"164432","6A","1940",1
"164476","19F","1941",1
"164571","19F","1942",1
"164666","19F","1943",1
"164758","19A","1944",1
"164856","19F","1945",1
"164917","9A","1945",1
"164970","29","1946",1
"165065","29","1947",1
"165077","35B","1947",1
"165136","18C","1948",1
"165244","23A","1949",1
"165369","4","1951",1
"165409","12F","1952",1
"165554","35F","1953",1
"165635","29","1954",1
"165670","6E","1954",1
"165753","42","1955",1
"165792","15A","1957",1
"165876","11A","1958",1
"165991","18C","1959",1
"166091","19F","1960",1
"166173","15B/C","1961",1
"166281","19F","1962",1
"166376","19F","1963",1
"166456","14","1964",1
"166574","23A","1965",1
"166661","19F","1966",1
"166787","35B","1967",1
"166813","7A","1967",1
"166851","19F","1968",1
"166941","18C","1970",1
"166942","18F","1970",1
"167037","18F","1971",1
"167156","3","1972",1
"167283","6B","1973",1
"167311","14","1974",1
"167406","14","1975",1
"167580","9V","1976",1
"167662","6A","1978",1
"167663","6B","1978",1
"167716","23F","1979",1
"167853","6B","1981",1
"167927","35B","1982",1
"167981","16F","1983",1
"168150","9V","1984",1
"168181","19F","1985",1
"168276","19F","1986",1
"168423","6B","1987",1
"168517","6A","1988",1
"168581","3","1989",1
"168676","3","1990",1
"168768","28A","1991",1
"168838","17F","1992",1
"168962","31","1994",1
"169071","37","1995",1
"169183","6B","1996",1
"169277","6A","1997",1
"169321","19F","1998",1
"169413","19A","1999",1
"169511","19F","2000",1
"169635","34","2001",1
"169722","31","2002",1
"169824","33F","2003",1
"169875","13","2004",1
"169956","1","2005",1
"170051","1","2006",1
"170183","22F","2007",1
"170258","15B/C","2008",1
"170418","6B","2009",1
"170446","14","2010",1
"170553","19A","2013",1
"170556","19F","2013",1
"170651","19F","2014",1
"170746","19F","2015",1
"170893","6B","2016",1
"170895","6E","2016",1
"170988","6B","2017",1
"171001","1","2019",1
"171123","19A","2020",1
"171136","23F","2020",1
"171241","3","2021",1
"171336","3","2022",1
"171411","19F","2023",1
"171506","19F","2024",1
"171665","9V","2025",1
"171760","9V","2026",1
"171791","19F","2027",1
"171856","1","2028",1
"171991","23F","2029",1
"172076","19F","2030",1
"172181","23F","2031",1
"172276","23F","2032",1
"172371","23F","2033",1
"172426","1","2034",1
"172553","2","2035",1
"172684","4","2036",1
"172726","14","2037",1
"172888","6B","2038",1
"172906","11A","2039",1
"172924","18A","2039",1
"173078","6B","2040",1
"173111","16F","2041",1
"173206","16F","2042",1
"173301","16F","2043",1
"173396","16F","2044",1
"173491","16F","2045",1
"173616","3","2046",1
"173698","22F","2047",1
"173786","19F","2048",1
"173901","3","2049",1
"173995","29","2050",1
"174123","6B","2051",1
"174150","13","2053",1
"174271","23F","2054",1
"174319","7B/C","2054",1
"174361","21","2056",1
"174448","19A","2057",1
"174543","19A","2058",1
"174638","19A","2059",1
"174641","19F","2059",1
"174651","23F","2059",1
"174692","6A","2059",1
"174733","19A","2060",1
"174828","19A","2061",1
"174923","19A","2062",1
"175072","6A","2063",1
"175167","6A","2064",1
"175169","6C/D","2064",1
"175196","14","2065",1
"175306","19F","2066",1
"175401","19F","2067",1
"175467","10A","2068",1
"175575","13","2069",1
"175601","23F","2069",1
"175673","15B/C","2070",1
"175800","29","2071",1
"175863","15B/C","2072",1
"175968","19A","2073",1
"176063","19A","2074",1
"176156","18C","2075",1
"176253","19A","2076",1
"176370","29","2077",1
"176443","19A","2079",1
"176593","6B","2080",1
"176633","19A","2081",1
"176728","19A","2082",1
"176823","19A","2083",1
"176891","1","2084",1
"177026","23F","2085",1
"177163","6B","2086",1
"177258","6B","2087",1
"177353","6B","2088",1
"177447","6A","2089",1
"177542","6A","2090",1
"177543","6B","2090",1
"177637","6A","2091",1
"177732","6A","2092",1
"177761","14","2096",1
"177858","15B/C","2097",1
"177868","19A","2097",1
"177871","19F","2097",1
"177966","19F","2098",1
"178061","19F","2099",1
"178156","19F","2100",1
"178251","19F","2101",1
"178343","19A","2102",1
"178346","19F","2102",1
"178441","19F","2103",1
"178536","19F","2104",1
"178617","15A","2105",1
"178631","19F","2105",1
"178723","19A","2106",1
"178818","19A","2107",1
"178901","14","2108",1
"178913","19A","2108",1
"179008","19A","2109",1
"179103","19A","2110",1
"179201","19F","2111",1
"179348","6B","2112",1
"179401","23F","2113",1
"179496","23F","2114",1
"179576","18C","2115",1
"179676","19F","2116",1
"179756","14","2117",1
"179851","14","2118",1
"179981","3","2119",1
"180094","4","2121",1
"180121","1","2126",1
"180236","16F","2127",1
"180326","14","2129",1
"180426","16F","2130",1
"180559","33F","2131",1
"180686","8","2133",1
"180716","18C","2134",1
"180786","1","2135",1
"180911","19F","2136",1
"181016","23F","2137",1
"181067","9A","2137",1
"181070","9V","2137",1
"181087","15A","2138",1
"181153","6B","2138",1
"181181","14","2139",1
"181301","23F","2140",1
"181396","23F","2141",1
"181481","19F","2142",1
"181614","4","2143",1
"181722","6A","2144",1
"181817","6A","2145",1
"181856","18C","2146",1
"182007","6A","2147",1
"182102","6A","2148",1
"182197","6A","2149",1
"182293","6B","2150",1
"182346","23F","2151",1
"182483","6B","2152",1
"182558","35C","2153",1
"182672","6A","2154",1
"182768","6B","2155",1
"182863","6B","2156",1
"182957","6A","2157",1
"182987","15A","2159",1
"183106","23F","2160",1
"183188","19A","2161",1
"183242","6A","2161",1
"183337","6A","2162",1
"183432","6A","2163",1
"183514","4","2164",1
"183622","6A","2165",1
"183717","6A","2166",1
"183758","19A","2167",1
"183853","19A","2168",1
"183956","21","2169",1
"184046","19F","2170",1
"184138","19A","2171",1
"184221","14","2172",1
"184382","6A","2173",1
"184410","13","2174",1
"184423","19A","2174",1
"184434","23A","2174",1
"184436","23F","2174",1
"184477","6A","2174",1
"184518","19A","2175",1
"184602","15A","2176",1
"184621","21","2176",1
"184770","7F","2178",1
"184857","6A","2179",1
"184870","9V","2179",1
"184885","13","2180",1
"185048","6B","2181",1
"185125","36","2182",1
"185206","3","2183",1
"185332","6A","2184",1
"185427","6A","2185",1
"185429","6C/D","2185",1
"185455","13","2187",1
"185538","10B","2188",1
"185692","35B","2189",1
"185794","4","2190",1
"185902","6A","2191",1
"185942","18F","2192",1
"186041","19F","2193",1
"186121","14","2194",1
"186221","16F","2196",1
"186359","35F","2198",1
"186473","6B","2199",1
"186536","3","2200",1
"186662","6A","2201",1
"186739","35F","2203",1
"186786","14","2204",1
"186906","23F","2205",1
"186961","1","2206",1
"187132","46","2207",1
"187194","24F","2208",1
"187271","18C","2209",1
"187341","1","2210",1
"187448","12B","2211",1
"187518","6B","2211",1
"187606","45","2212",1
"187694","4","2213",1
"187746","18C","2214",1
"187781","35A","2214",1
"187831","14","2215",1
"187897","6A","2215",1
"187941","19F","2216",1
"188069","35F","2217",1
"188139","23A","2218",1
"188141","23F","2218",1
"188162","35B","2218",1
"188211","14","2219",1
"188318","19A","2220",1
"188467","6A","2221",1
"188563","6B","2222",1
"188630","33A","2223",1
"188634","33F","2223",1
"188753","6B","2224",1
"188801","21","2225",1
"188942","6A","2226",1
"189038","6B","2227",1
"189081","19F","2228",1
"189173","19A","2229",1
"189299","33F","2230",1
"189426","8","2231",1
"189521","8","2232",1
"189616","8","2233",1
"189711","8","2234",1
"189810","9V","2235",1
"189851","23F","2236",1
"189931","18C","2237",1
"190021","16F","2238",1
"190121","18C","2239",1
"190282","9A","2240",1
"190368","6B","2241",1
"190449","4","2242",1
"190556","5","2243",1
"190653","6B","2244",1
"190756","8","2245",1
"190855","9V","2246",1
"190950","9V","2247",1
"190966","14","2248",1
"191071","18C","2249",1
"191171","19F","2250",1
"191251","14","2253",1
"191346","14","2254",1
"191441","14","2255",1
"191589","4","2256",1
"191656","23F","2257",1
"191731","16F","2258",1
"191846","23F","2259",1
"191928","19A","2260",1
"192026","19F","2261",1
"192111","16F","2262",1
"192236","3","2263",1
"192298","15B/C","2264",1
"192403","19A","2265",1
"192501","19F","2266",1
"192593","19A","2267",1
"192688","19A","2268",1
"192783","19A","2269",1
"192878","19A","2270",1
"192973","19A","2271",1
"193068","19A","2272",1
"193163","19A","2273",1
"193290","34","2274",1
"193408","6B","2275",1
"193502","6A","2276",1
"193598","6B","2277",1
"193693","6B","2278",1
"193796","8","2279",1
"193895","9V","2280",1
"193946","3","2281",1
"194085","9V","2282",1
"194167","6A","2283",1
"194169","6C/D","2283",1
"194249","4","2284",1
"194357","6A","2285",1
"194358","6B","2285",1
"194384","12F","2286",1
"194556","8","2287",1
"194643","6B","2288",1
"194737","6A","2289",1
"194819","4","2290",1
"194927","6A","2291",1
"195035","9V","2292",1
"195124","7B/C","2293",1
"195199","4","2294",1
"195307","6A","2295",1
"195321","1","2296",1
"195351","19F","2296",1
"195509","9N","2297",1
"195604","9N","2298",1
"195696","8","2299",1
"195769","4","2300",1
"195877","6A","2301",1
"195972","6A","2302",1
"196054","4","2303",1
"196149","4","2304",1
"196206","19F","2305",1
"196286","14","2306",1
"196365","9V","2306",1
"196396","19F","2307",1
"196511","3","2311",1
"196646","8","2312",1
"196681","19F","2313",1
"196796","3","2314",1
"196881","23F","2316",1
"196961","18C","2317",1
"196976","23F","2317",1
"197047","15A","2318",1
"197099","4","2318",1
"197164","23A","2319",1
"197251","19F","2320",1
"197346","19F","2321",1
"197441","19F","2322",1
"197536","19F","2323",1
"197631","19F","2324",1
"197726","19F","2325",1
"197808","15B/C","2326",1
"197816","18C","2326",1
"197911","18C","2327",1
"198070","7F","2328",1
"198116","23F","2329",1
"198211","23F","2330",1
"198293","19A","2331",1
"198355","7F","2331",1
"198386","18C","2332",1
"198524","4","2333",1
"198591","23F","2334",1
"198661","14","2335",1
"198756","14","2336",1
"198895","34","2337",1
"198918","6B","2337",1
"198971","23F","2338",1
"199056","19F","2339",1
"199202","6A","2340",1
"199284","4","2341",1
"199379","4","2342",1
"199433","19A","2343",1
"199528","19A","2344",1
"199623","19A","2345",1
"199626","19F","2345",1
"199718","19A","2346",1
"199813","19A","2347",1
"199908","19A","2348",1
"200058","6B","2349",1
"200101","19F","2350",1
"200181","14","2351",1
"200291","19F","2352",1
"200438","6B","2353",1
"200532","6A","2354",1
"200568","17F","2355",1
"200709","4","2358",1
"200804","4","2359",1
"200831","1","2360",1
"200994","4","2361",1
"201089","4","2362",1
"201143","19A","2363",1
"201238","19A","2364",1
"201333","19A","2365",1
"201428","19A","2366",1
"201523","19A","2367",1
"201659","4","2368",1
"201713","19A","2370",1
"201781","1","2371",1
"201915","23B","2372",1
"201971","1","2374",1
"202066","1","2375",1
"202161","1","2376",1
"202337","6A","2377",1
"202391","23F","2379",1
"202473","19A","2380",1
"202568","19A","2381",1
"202663","19A","2382",1
"202758","19A","2383",1
"202856","19F","2384",1
"202951","19F","2385",1
"203046","19F","2386",1
"203179","4","2388",1
"203274","4","2389",1
"203326","18C","2390",1
"203421","18C","2391",1
"203518","19A","2392",1
"203613","19A","2393",1
"203708","19A","2394",1
"203806","19F","2395",1
"203816","23F","2395",1
"203901","19F","2396",1
"203996","19F","2397",1
"204091","19F","2398",1
"204186","19F","2399",1
"204289","23A","2400",1
"204368","17F","2401",1
"204446","11A","2402",1
"204630","9V","2403",1
"204658","19A","2404",1
"204669","23A","2404",1
"204820","9V","2405",1
"204833","12B","2406",1
"204966","3","2407",1
"205038","19A","2408",1
"205133","19A","2409",1
"205228","19A","2410",1
"205231","19F","2410",1
"205323","19A","2411",1
"205418","19A","2412",1
"205513","19A","2413",1
"205596","14","2414",1
"205642","35B","2414",1
"205649","4","2414",1
"205713","22F","2415",1
"205784","12F","2416",1
"205798","19A","2416",1
"205860","7F","2416",1
"205893","19A","2417",1
"205988","19A","2418",1
"206092","22A","2419",1
"206167","15A","2420",1
"206328","6B","2421",1
"206330","6E","2421",1
"206368","19A","2422",1
"206441","11A","2423",1
"206561","19F","2424",1
"206652","18F","2425",1
"206746","18C","2426",1
"206846","19F","2427",1
"206917","11B","2428",1
"207031","18C","2429",1
"207128","19A","2430",1
"207223","19A","2431",1
"207306","14","2432",1
"207318","19A","2432",1
"207413","19A","2433",1
"207508","19A","2434",1
"207616","23F","2435",1
"207686","14","2436",1
"207781","14","2437",1
"207891","19F","2439",1
"208037","6A","2440",1
"208039","6C/D","2440",1
"208132","6A","2441",1
"208161","14","2442",1
"208281","23F","2443",1
"208336","1","2444",1
"208458","19A","2445",1
"208551","18C","2446",1
"208636","14","2447",1
"208651","19F","2447",1
"208755","23B","2448",1
"208836","18C","2449",1
"208943","22F","2450",1
"209026","18C","2451",1
"209178","6B","2452",1
"209216","18C","2453",1
"209311","18C","2454",1
"209462","6A","2455",1
"209558","6B","2456",1
"209653","6B","2457",1
"209748","6B","2458",1
"209843","6B","2459",1
"209871","14","2460",1
"210033","6B","2461",1
"210076","19F","2462",1
"210171","19F","2463",1
"210263","19A","2464",1
"210413","6B","2465",1
"210451","18C","2466",1
"210602","6A","2467",1
"210643","19A","2468",1
"210646","19F","2468",1
"210800","7F","2469",1
"210895","7F","2470",1
"210928","19A","2471",1
"211023","19A","2472",1
"211118","19A","2473",1
"211268","6B","2474",1
"211311","19F","2475",1
"211406","19F","2476",1
"211498","19A","2477",1
"211601","21","2478",1
"211742","6A","2479",1
"211793","22F","2480",1
"211940","7F","2481",1
"211976","19F","2482",1
"212071","19F","2483",1
"212204","4","2484",1
"212299","4","2485",1
"212394","4","2486",1
"212503","6B","2487",1
"212597","6A","2488",1
"212651","23F","2489",1
"212733","19A","2490",1
"212828","19A","2491",1
"212933","22F","2492",1
"213016","18C","2493",1
"213086","1","2494",1
"213116","19F","2494",1
"213211","19F","2495",1
"213358","6B","2496",1
"213453","6B","2497",1
"213481","14","2498",1
"213601","23F","2499",1
"213696","23F","2500",1
"213788","22F","2501",1
"213936","8","2502",1
"214031","8","2503",1
"214041","11A","2504",1
"214212","6A","2505",1
"214307","6A","2506",1
"214367","27","2507",1
"214456","23F","2508",1
"214541","19F","2509",1
"214687","6A","2510",1
"214716","14","2511",1
"214821","18C","2512",1
"214973","6B","2513",1
"215013","19A","2514",1
"215096","14","2515",1
"215270","9V","2516",1
"215365","9V","2517",1
"215448","6B","2518",1
"215511","3","2519",1
"215596","23F","2520",1
"215740","7F","2521",1
"215835","7F","2522",1
"215930","7F","2523",1
"215963","19A","2524",1
"216061","19F","2525",1
"216207","6A","2526",1
"216280","34","2527",1
"216397","6A","2528",1
"216448","22F","2529",1
"216546","23F","2530",1
"216626","18C","2531",1
"216736","23F","2532",1
"216821","19F","2533",1
"216911","18C","2534",1
"217062","6A","2535",1
"217116","23F","2536",1
"217158","6B","2536",1
"217221","3","2537",1
"217266","1","2538",1
"217388","19A","2539",1
"217483","19A","2540",1
"217578","19A","2541",1
"217673","19A","2542",1
"217742","10A","2543",1
"217757","15A","2543",1
"217768","19A","2543",1
"217781","23F","2543",1
"217926","8","2544",1
"217946","14","2545",1
"218094","4","2546",1
"218203","6B","2547",1
"218243","19A","2548",1
"218316","11A","2549",1
"218436","19F","2550",1
"218516","14","2551",1
"218646","3","2552",1
"218693","10B","2553",1
"218813","19A","2556",1
"218868","6B","2556",1
"218921","23F","2557",1
"218962","6A","2557",1
"219016","23F","2558",1
"219096","18C","2559",1
"219204","23A","2560",1
"219261","1","2561",1
"219386","19F","2562",1
"219466","14","2563",1
"219635","7F","2564",1
"219641","1","2565",1
"219750","13","2566",1
"219892","35B","2567",1
"219953","19A","2568",1
"220022","10A","2569",1
"220166","3","2570",1
"220279","4","2571",1
"220344","23A","2572",1
"220348","24B","2572",1
"220349","24F","2572",1
"220367","35B","2572",1
"220469","4","2573",1
"220535","23B","2574",1
"220605","13","2575",1
"220726","23F","2576",1
"220798","15B/C","2577",1
"220911","21","2578",1
"221052","6A","2579",1
"221096","19F","2581",1
"221251","8","2582",1
"221283","19A","2583",1
"221378","19A","2584",1
"221473","19A","2585",1
"221568","19A","2586",1
"221730","9V","2587",1
"221758","19A","2588",1
"221853","19A","2589",1
"221971","3","2590",1
"222097","6A","2591",1
"222125","13","2592",1
"222236","19F","2593",1
"222382","6A","2594",1
"222478","6B","2595",1
"222506","14","2596",1
"222668","6B","2598",1
"222702","17A","2599",1
"222806","19F","2600",1
"222930","34","2601",1
"223029","35F","2602",1
"223107","27","2603",1
"223181","18C","2604",1
"223281","19F","2605",1
"223362","15A","2606",1
"223456","14","2607",1
"223575","23B","2608",1
"223658","19A","2609",1
"223789","35F","2610",1
"223902","6A","2611",1
"223954","23A","2612",1
"224027","15A","2613",1
"224136","19F","2615",1
"224169","35F","2615",1
"224216","14","2616",1
"224364","4","2617",1
"224418","19A","2618",1
"224524","23A","2619",1
"224611","19F","2620",1
"224706","19F","2621",1
"224852","6A","2622",1
"224947","6A","2623",1
"225001","23F","2624",1
"225061","11A","2625",1
"225201","3","2628",1
"225327","6A","2629",1
"225391","3","2630",1
"225466","19F","2631",1
"225558","19A","2632",1
"225684","33F","2633",1
"225814","9N","2634",1
"225843","19A","2635",1
"225926","14","2636",1
"225938","19A","2636",1
"226021","14","2637",1
"226183","6B","2638",1
"226197","10A","2639",1
"226226","19F","2639",1
"226373","6B","2640",1
"226454","4","2641",1
"226563","6B","2642",1
"226606","19F","2648",1
"226676","11A","2649",1
"226811","25F","2650",1
"226901","23F","2651",1
"226971","14","2652",1
"227078","19A","2653",1
"227161","14","2654",1
"227266","18C","2655",1
"227362","18F","2656",1
"227513","6B","2657",1
"227540","13","2658",1
"227703","6B","2659",1
"227797","6A","2660",1
"227798","6B","2660",1
"227860","29","2661",1
"227921","14","2662",1
"228003","10B","2664",1
"228123","19A","2665",1
"228273","6B","2666",1
"228367","6A","2667",1
"228369","6C/D","2667",1
"228408","19A","2668",1
"228503","19A","2669",1
"228609","23A","2670",1
"228683","15B/C","2671",1
"228788","19A","2672",1
"228937","6A","2673",1
"228978","19A","2674",1
"229062","15A","2675",1
"229222","6A","2676",1
"229317","6A","2677",1
"229346","14","2678",1
"229347","15A","2678",1
"229443","15B/C","2679",1
"229538","15B/C","2681",1
"229697","6A","2682",1
"229738","19A","2683",1
"229811","11A","2684",1
"229921","16F","2685",1
"230034","23A","2686",1
"230129","23A","2687",1
"230213","19A","2688",1
"230362","6A","2689",1
"230364","6C/D","2689",1
"230437","35B","2690",1
"230498","19A","2691",1
"230657","9A","2692",1
"230693","2","2693",1
"230786","19F","2694",1
"230881","19F","2695",1
"230976","19F","2696",1
"231071","19F","2697",1
"231081","23F","2697",1
"231166","19F","2698",1
"231271","23F","2699",1
"231356","19F","2700",1
"231451","19F","2701",1
"231584","4","2702",1
"231628","15B/C","2704",1
"231638","19A","2704",1
"231722","15A","2705",1
"231724","15F","2705",1
"231733","19A","2705",1
"231764","33F","2705",1
"231831","19F","2706",1
"231911","14","2707",1
"232042","31","2708",1
"232112","18F","2709",1
"232116","19F","2709",1
"232196","14","2710",1
"232302","18F","2711",1
"232439","4","2712",1
"232548","6B","2713",1
"232601","23F","2714",1
"232686","19F","2715",1
"232766","14","2716",1
"232861","14","2717",1
"232981","23F","2718",1
"233118","6B","2720",1
"233151","16F","2721",1
"233253","19A","2722",1
"233415","9V","2723",1
"233510","9V","2724",1
"233605","9V","2725",1
"233700","9V","2726",1
"233795","9V","2727",1
"233877","6A","2728",1
"233908","15B/C","2729",1
"234080","9V","2730",1
"234111","19F","2731",1
"234203","19A","2732",1
"234298","19A","2733",1
"234393","19A","2734",1
"234488","19A","2735",1
"234556","1","2736",1
"234666","14","2737",1
"234773","19A","2738",1
"234935","9V","2739",1
"235018","6B","2740",1
"235125","9V","2741",1
"235153","19A","2742",1
"235248","19A","2743",1
"235398","6B","2744",1
"235451","23F","2745",1
"235546","23F","2746",1
"235641","23F","2747",1
"235778","6B","2748",1
"235859","4","2749",1
"235948","35C","2750",1
"235958","42","2750",1
"236041","35A","2752",1
"236043","35C","2752",1
"236136","35A","2753",1
"236177","11B","2754",1
"236201","19F","2754",1
"236226","33B","2754",1
"236228","33D","2754",1
"236253","6B","2754",1
"236303","22F","2755",1
"236315","29","2755",1
"236327","35B","2755",1
"236442","6A","2756",1
"236443","6B","2756",1
"236538","6B","2757",1
"236612","35B","2758",1
"236639","7B/C","2758",1
"236714","4","2759",1
"236756","14","2761",1
"236926","8","2762",1
"237013","6B","2764",1
"237041","14","2765",1
"237136","14","2767",1
"237298","6B","2768",1
"237379","4","2769",1
"237407","10A","2770",1
"237516","14","2771",1
"237517","15A","2771",1
"237596","1","2772",1
"237721","19F","2773",1
"237869","6C/D","2776",1
"237921","23F","2777",1
"237964","6C/D","2777",1
"238059","6C/D","2778",1
"238153","6B","2779",1
"238155","6E","2779",1
"238248","6B","2780",1
"238343","6B","2781",1
"238438","6B","2782",1
"238533","6B","2783",1
"238627","6A","2786",1
"238724","6C/D","2789",1
"238817","6A","2790",1
"238913","6B","2791",1
"239008","6B","2792",1
"239103","6B","2793",1
"239198","6B","2794",1
"239258","28A","2795",1
"239388","6B","2796",1
"239441","23F","2797",1
"239536","23F","2798",1
"239606","14","2799",1
"239631","23F","2799",1
"239716","19F","2800",1
"239806","18C","2801",1
"239916","23F","2802",1
"240011","23F","2803",1
"240147","6A","2804",1
"240242","6A","2805",1
"240337","6A","2806",1
"240366","14","2807",1
"240496","3","2808",1
"240591","3","2809",1
"240718","6B","2810",1
"240771","23F","2811",1
"240856","19F","2812",1
"240961","23F","2813",1
"241043","19A","2814",1
"241128","15B/C","2815",1
"241223","15B/C","2816",1
"241233","19A","2816",1
"241341","23F","2818",1
"241344","24F","2818",1
"241490","9V","2819",1
"241504","12F","2820",1
"241599","12F","2821",1
"241775","9V","2822",1
"241794","15F","2823",1
"241961","8","2824",1
"242055","7F","2826",1
"242081","16F","2827",1
"242171","14","2828",1
"242289","23A","2829",1
"242346","1","2830",1
"242516","45","2831",1
"242595","34","2832",1
"242720","7F","2833",1
"242776","3","2834",1
"242871","3","2835",1
"242966","3","2836",1
"243061","3","2837",1
"243185","48","2838",1
"243201","1","2839",1
"243377","6A","2840",1
"243472","6A","2842",1
"243536","3","2843",1
"243662","6A","2844",1
"243706","19F","2845",1
"243852","6A","2846",1
"243853","6B","2846",1
"243947","6A","2847",1
"244042","6A","2848",1
"244137","6A","2849",1
"244232","6A","2850",1
"244286","23F","2851",1
"244346","11A","2852",1
"244451","14","2853",1
"244561","19F","2854",1
"244653","19A","2855",1
"244761","23F","2856",1
"244841","18C","2857",1
"244936","18C","2858",1
"245023","15B/C","2859",1
"245106","11A","2860",1
"245277","6A","2861",1
"245294","10C","2862",1
"245443","33D","2863",1
"245536","33B","2864",1
"245632","33C","2865",1
"245726","33B","2866",1
"245781","14","2867",1
"245876","14","2868",1
"245986","19F","2869",1
"246081","19F","2870",1
"246146","1","2871",1
"246323","6B","2872",1
"246418","6B","2873",1
"246446","14","2874",1
"246541","14","2875",1
"246636","14","2876",1
"246731","14","2877",1
"246838","19A","2878",1
"246933","19A","2879",1
"247028","19A","2880",1
"247126","19F","2881",1
"247231","23F","2882",1
"247326","23F","2883",1
"247421","23F","2884",1
"247516","23F","2885",1
"247611","23F","2886",1
"247706","23F","2887",1
"247817","33C","2888",1
"247873","15B/C","2889",1
"247981","19F","2890",1
"248086","23F","2891",1
"248127","6A","2891",1
"248232","9A","2893",1
"248326","8","2894",1
"248347","15A","2895",1
"248456","19F","2896",1
"248551","19F","2898",1
"248699","6C/D","2899",1
"248794","6C/D","2902",1
"248887","6A","2904",1
"248982","6A","2905",1
"249077","6A","2906",1
"249158","39","2907",1
"249200","13","2908",1
"249281","1","2909",1
"249363","6B","2909",1
"249458","6B","2910",1
"249510","23B","2911",1
"249511","23F","2911",1
"249593","19A","2912",1
"249649","6C/D","2912",1
"249742","6A","2913",1
"249771","14","2914",1
"249851","1","2915",1
"249961","14","2916",1
"250071","19F","2917",1
"250151","14","2918",1
"250269","23A","2919",1
"250356","19F","2920",1
"250461","23F","2921",1
"250531","14","2922",1
"250692","6A","2923",1
"250693","6B","2923",1
"250694","6C/D","2923",1
"250746","23F","2924",1
"250788","6B","2924",1
"250789","6C/D","2924",1
"250883","6B","2925",1
"250923","19A","2926",1
"251016","18C","2927",1
"251018","19A","2927",1
"251113","19A","2928",1
"251208","19A","2929",1
"251303","19A","2930",1
"251398","19A","2931",1
"251496","19F","2932",1
"251579","15F","2933",1
"251745","7F","2934",1
"251776","18C","2935",1
"251927","6A","2936",1
"252009","4","2937",1
"252076","23F","2938",1
"252146","14","2939",1
"252308","6B","2940",1
"252389","4","2941",1
"252465","29","2942",1
"252477","35B","2942",1
"252538","19A","2943",1
"252551","23F","2943",1
"252621","14","2944",1
"252782","6A","2945",1
"252877","6A","2947",1
"252921","19F","2948",1
"252999","12F","2949",1
"253096","14","2950",1
"253226","3","2951",1
"253353","6B","2952",1
"253425","34","2953",1
"253543","6B","2954",1
"253596","23F","2955",1
"253699","28F","2956",1
"253784","23A","2958",1
"253934","9N","2959",1
"253936","1","2960",1
"254071","23F","2961",1
"254208","6B","2963",1
"254234","12F","2964",1
"254341","18C","2965",1
"254431","16F","2966",1
"254447","22A","2966",1
"254501","8","2966",1
"254536","19F","2967",1
"254626","18C","2968",1
"254762","38","2969",1
"254872","6A","2970",1
"254873","6B","2970",1
"254916","19F","2971",1
"254967","6A","2971",1
"255044","35F","2972",1
"255098","17F","2973",1
"255209","23A","2974",1
"255237","38","2974",1
"255293","19A","2975",1
"255391","19F","2976",1
"255493","22F","2977",1
"255632","6A","2978",1
"255696","3","2979",1
"255835","9V","2980",1
"255871","21","2981",1
"256013","6B","2983",1
"256066","23F","2984",1
"256188","39","2985",1
"256241","18C","2986",1
"256392","6A","2987",1
"256393","6B","2987",1
"256433","19A","2988",1
"256436","19F","2988",1
"256531","19F","2989",1
"256678","6B","2990",1
"256721","19F","2991",1
"256754","35F","2991",1
"256816","19F","2992",1
"256911","19F","2993",1
"256975","9V","2993",1
"257016","23F","2994",1
"257086","14","2995",1
"257181","14","2997",1
"257291","19F","2998",1
"257396","23F","2999",1
"257456","11A","3000",1
"257628","6B","3001",1
"257666","18C","3002",1
"257797","35B","3003",1
"257899","4","3004",1
"257976","3","3005",1
"258048","19A","3008",1
"258146","19F","3014",1
"258241","19F","3015",1
"258336","19F","3016",1
"258417","15A","3017",1
"258428","19A","3017",1
"258496","1","3018",1
"258596","11A","3019",1
"258618","19A","3019",1
"258691","11A","3021",1
"258856","45","3022",1
"258964","7B/C","3023",1
"259001","19F","3024",1
"259134","4","3025",1
"259221","35A","3026",1
"259307","31","3027",1
"259432","6A","3028",1
"259527","6A","3029",1
"259529","6C/D","3029",1
"259623","6B","3030",1
"259717","6A","3031",1
"259812","6A","3032",1
"259866","23F","3033",1
"260002","6A","3034",1
"260096","5","3035",1
"260126","14","3036",1
"260288","6B","3037",1
"260331","19F","3038",1
"260426","19F","3039",1
"260521","19F","3040",1
"260667","6A","3041",1
"260711","19F","3042",1
"260858","6B","3044",1
"260896","18C","3045",1
"260996","19F","3046",1
"261142","6A","3047",1
"261237","6A","3048",1
"261239","6C/D","3048",1
"261266","14","3049",1
"261361","14","3050",1
"261523","6B","3051",1
"261618","6B","3052",1
"261712","6A","3053",1
"261807","6A","3054",1
"261882","35B","3055",1
"262006","8","3056",1
"262105","9V","3057",1
"262122","15A","3058",1
"262123","15B/C","3058",1
"262128","17F","3058",1
"262172","38","3058",1
"262214","12F","3059",1
"262321","18C","3060",1
"262482","9A","3061",1
"262483","9L","3061",1
"262503","15B/C","3062",1
