"","sero_pair","Serotype1","Serotype2","mc_st_index_freq","mc_st_index_sig","mc_cc_index_freq","mc_cc_index_sig","mb_st_index_con","mb_st_index_chi","mb_st_index_lift","mb_st_index_fisher","mb_cc_index_con","mb_cc_index_chi","mb_cc_index_lift","mb_cc_index_fisher","total"
"244","15F - 17F","15F","17F",0,0,0,0,0,0.25,0.25,0,0,0.25,0.25,0.25,1.25
"245","15F - 19A","15F","19A",1,1,1,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,5
"246","15F - 19B","15F","19B",0,1,0,0,0,0.25,0.25,0.25,0,0.25,0.25,0.25,2.5
"247","15F - 19F","15F","19F",1,0,1,0,0.25,0,0.25,0,0.25,0.25,0.25,0.25,3.5
"248","15F - 23A","15F","23A",0,0,1,0,0,0,0.25,0,0.25,0.25,0.25,0.25,2.25
"249","15F - 23F","15F","23F",0,0,1,0,0.25,0,0.25,0,0.25,0.25,0.25,0.25,2.5
"250","15F - 3","15F","3",0,0,1,0,0.25,0.25,0.25,0,0.25,0.25,0.25,0.25,2.75
"251","15F - 33F","15F","33F",0,0,0,0,0,0.25,0.25,0,0,0,0.25,0,0.75
"252","15F - 48","15F","48",0,1,0,0,0,0.25,0.25,0.25,0,0.25,0.25,0,2.25
"253","15F - 7B/C","15F","7B/C",0,1,0,0,0.25,0.25,0.25,0.25,0,0.25,0.25,0.25,2.75
"254","16A - 16F","16A","16F",0,1,0,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,2.75
"255","16F - 19A","16F","19A",1,0,1,0,0.25,0,0.25,0,0,0,0.25,0,2.75
"256","16F - 19F","16F","19F",0,0,1,0,0,0,0,0,0,0,0.25,0,1.25
"257","16F - 22A","16F","22A",0,0,0,0,0,0.25,0.25,0,0,0.25,0.25,0,1
"258","16F - 22F","16F","22F",0,0,1,0,0,0.25,0.25,0.25,0,0.25,0.25,0.25,2.5
"259","16F - 23F","16F","23F",0,0,0,0,0,0,0,0,0,0,0,0,0
"260","16F - 3","16F","3",0,0,0,0,0,0,0.25,0,0,0,0.25,0,0.5
"261","16F - 33A","16F","33A",0,0,0,0,0,0.25,0.25,0,0,0.25,0.25,0,1
"262","16F - 33F","16F","33F",0,0,0,0,0,0,0.25,0,0,0,0.25,0,0.5
"263","16F - 37","16F","37",0,0,0,0,0,0.25,0.25,0,0,0,0.25,0,0.75
"264","16F - 6A","16F","6A",0,0,1,0,0,0,0,0,0,0,0,0,1
"265","16F - 6B","16F","6B",0,0,1,0,0,0,0,0,0,0,0,0,1
"266","16F - 8","16F","8",0,0,0,0,0,0.25,0.25,0.25,0,0,0.25,0,1
"267","17F - 19A","17F","19A",0,0,1,0,0,0,0,0,0,0,0.25,0,1.25
"268","17F - 19F","17F","19F",0,0,1,0,0,0,0,0,0.25,0,0.25,0,1.5
"269","17F - 2","17F","2",0,0,0,0,0,0.25,0.25,0.25,0,0.25,0.25,0.25,1.5
"270","17F - 22A","17F","22A",0,1,1,1,0,0.25,0.25,0.25,0,0.25,0.25,0.25,4.5
"271","17F - 23A","17F","23A",0,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,2
"272","17F - 23F","17F","23F",1,0,1,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,4
"273","17F - 3","17F","3",0,0,1,0,0,0,0.25,0,0.25,0.25,0.25,0.25,2.25
"274","17F - 35B","17F","35B",0,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,2
"275","17F - 35C","17F","35C",0,0,0,0,0,0,0.25,0,0,0,0.25,0,0.5
"276","17F - 38","17F","38",0,0,0,0,0,0,0.25,0,0,0,0.25,0,0.5
"277","17F - 4","17F","4",0,0,1,0,0,0,0.25,0,0,0,0.25,0,1.5
"278","17F - 48","17F","48",0,0,0,0,0,0.25,0.25,0.25,0,0.25,0.25,0,1.25
"279","17F - 6B","17F","6B",0,0,1,0,0,0,0,0,0.25,0,0.25,0,1.5
"280","17F - 6C/D","17F","6C/D",0,0,1,0,0,0,0,0,0,0,0.25,0,1.25
"281","17F - 9V","17F","9V",0,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,2
"282","18A - 18B","18A","18B",0,1,1,1,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,5
"283","18A - 18C","18A","18C",0,0,1,1,0,0,0.25,0,0.25,0.25,0.25,0.25,3.25
"284","18A - 18F","18A","18F",0,1,1,1,0,0.25,0.25,0,0,0.25,0.25,0.25,4.25
"285","18A - 23F","18A","23F",0,0,1,0,0,0,0.25,0,0.25,0.25,0.25,0.25,2.25
"286","18A - 6B","18A","6B",0,0,1,0,0,0,0,0,0.25,0.25,0.25,0.25,2
"287","18B - 18C","18B","18C",1,1,1,1,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,6
"288","18B - 18F","18B","18F",0,1,1,1,0,0.25,0.25,0,0.25,0.25,0.25,0.25,4.5
"289","18B - 19A","18B","19A",0,0,1,0,0,0,0,0,0.25,0.25,0.25,0.25,2
"290","18B - 22F","18B","22F",0,0,1,1,0,0,0.25,0,0.25,0.25,0.25,0.25,3.25
"291","18B - 24F","18B","24F",0,1,0,0,0,0,0.25,0,0,0.25,0.25,0.25,2
"292","18B - 7F","18B","7F",0,0,1,0,0,0,0.25,0,0.25,0.25,0.25,0.25,2.25
"293","18C - 18F","18C","18F",1,1,1,1,0,0.25,0.25,0.25,0,0.25,0.25,0.25,5.5
"294","18C - 19A","18C","19A",1,0,1,0,0,0,0,0,0.25,0.25,0.25,0.25,3
"295","18C - 19F","18C","19F",1,0,1,0,0,0,0,0,0.25,0.25,0.25,0.25,3
"296","18C - 21","18C","21",1,0,1,0,0,0.25,0.25,0.25,0,0.25,0.25,0.25,3.5
"297","18C - 22F","18C","22F",0,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,2
"298","18C - 23F","18C","23F",0,0,1,0,0,0,0,0,0.25,0.25,0.25,0.25,2
"299","18C - 24F","18C","24F",0,0,0,0,0,0,0.25,0,0,0.25,0.25,0,0.75
"300","18C - 3","18C","3",0,0,1,0,0,0,0,0,0,0.25,0.25,0.25,1.75
"301","18C - 33A","18C","33A",0,0,0,0,0,0,0.25,0,0,0.25,0.25,0.25,1
"302","18C - 33B","18C","33B",0,0,0,0,0,0,0.25,0,0,0,0.25,0,0.5
"303","18C - 33F","18C","33F",0,0,0,0,0,0,0.25,0,0,0.25,0.25,0,0.75
"304","18C - 35A","18C","35A",0,0,1,1,0,0,0.25,0,0,0.25,0.25,0.25,3
"305","18C - 35B","18C","35B",0,0,0,0,0,0,0,0,0,0,0.25,0,0.25
"306","18C - 35F","18C","35F",0,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,2
"307","18C - 38","18C","38",0,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,2
"308","18C - 4","18C","4",1,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,3
"309","18C - 6A","18C","6A",0,0,1,0,0,0.25,0,0,0,0,0.25,0,1.5
"310","18C - 6B","18C","6B",1,0,1,0,0,0.25,0,0,0.25,0,0.25,0,2.75
"311","18C - 7A","18C","7A",0,0,0,0,0,0,0.25,0,0,0.25,0.25,0.25,1
"312","18C - 7F","18C","7F",1,0,1,0,0,0.25,0.25,0,0,0.25,0.25,0.25,3.25
"313","18C - 8","18C","8",0,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,2
"314","18C - 9N","18C","9N",0,0,0,0,0,0,0.25,0,0,0,0.25,0,0.5
"315","18C - 9V","18C","9V",0,0,1,0,0,0,0,0,0,0.25,0.25,0.25,1.75
"316","18F - 19A","18F","19A",0,0,1,0,0,0,0,0,0.25,0,0.25,0,1.5
"317","18F - 19F","18F","19F",0,0,0,0,0,0,0,0,0,0,0.25,0,0.25
"318","18F - 22A","18F","22A",0,1,1,1,0,0.25,0.25,0,0.25,0.25,0.25,0.25,4.5
"319","18F - 23F","18F","23F",0,0,1,0,0,0,0,0,0.25,0.25,0.25,0.25,2
"320","18F - 24F","18F","24F",0,0,0,0,0,0.25,0.25,0,0,0.25,0.25,0.25,1.25
"321","18F - 6A","18F","6A",0,0,0,0,0,0,0,0,0,0,0.25,0,0.25
"322","18F - 6B","18F","6B",0,0,1,0,0,0,0,0,0.25,0.25,0.25,0.25,2
"323","18F - 6C/D","18F","6C/D",0,0,0,0,0,0,0.25,0,0,0,0.25,0,0.5
"324","18F - 7F","18F","7F",0,0,0,0,0,0,0.25,0,0,0.25,0.25,0.25,1
"325","19A - 19B","19A","19B",0,0,0,0,0,0,0.25,0,0,0,0.25,0,0.5
"326","19A - 19C","19A","19C",0,0,0,0,0,0,0.25,0,0,0,0.25,0,0.5
"327","19A - 19F","19A","19F",1,1,1,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,5
"328","19A - 21","19A","21",1,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,3
"329","19A - 22A","19A","22A",0,0,1,0,0,0,0,0,0,0,0.25,0,1.25
"330","19A - 22F","19A","22F",1,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,3
"331","19A - 23A","19A","23A",1,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,3
"332","19A - 23B","19A","23B",1,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,3
"333","19A - 23F","19A","23F",1,0,1,0,0.25,0,0.25,0,0,0.25,0.25,0.25,3.25
"334","19A - 24F","19A","24F",1,0,1,0,0,0,0.25,0,0,0,0.25,0,2.5
"335","19A - 27","19A","27",0,0,0,0,0,0,0.25,0,0,0,0.25,0,0.5
"336","19A - 29","19A","29",0,0,1,0,0,0,0,0,0,0,0.25,0,1.25
"337","19A - 3","19A","3",1,0,1,0,0,0,0,0,0,0.25,0.25,0.25,2.75
"338","19A - 31","19A","31",0,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,2
"339","19A - 33F","19A","33F",0,0,1,0,0,0,0,0,0,0.25,0.25,0,1.5
"340","19A - 34","19A","34",1,0,1,0,0,0,0.25,0,0,0,0.25,0,2.5
"341","19A - 35B","19A","35B",1,0,1,0,0,0,0,0,0,0,0.25,0,2.25
"342","19A - 35C","19A","35C",0,0,1,0,0,0,0,0,0,0,0.25,0,1.25
"343","19A - 37","19A","37",0,0,1,0,0,0,0,0,0,0.25,0.25,0.25,1.75
"344","19A - 38","19A","38",0,0,1,0,0,0,0,0,0,0,0.25,0,1.25
"345","19A - 4","19A","4",1,0,1,0,0,0,0,0,0,0,0.25,0,2.25
"346","19A - 42","19A","42",0,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,2
"347","19A - 5","19A","5",0,0,1,0,0,0,0.25,0,0,0.25,0.25,0.25,2
